<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	106395	107245	104360	104760	4876010	16558852	5
2022.01.04	105440	105785	104040	104435	5299069	17711170	5
2022.01.05	104570	104695	101580	101580	5872625	20679806	5
2022.01.06	101975	103180	101645	102600	6019648	19816776	5
2022.01.07	102385	103720	101855	103410	5308818	18728267	5
2022.01.10	102900	103405	101750	103315	5657825	20817377	5
2022.01.11	103400	104875	102565	104775	4979772	19154744	5
2022.01.12	104800	106740	104375	106740	5064136	19387371	5
2022.01.13	106300	107015	105650	106300	5829582	21190305	5
2022.01.14	106135	107985	105700	107985	5674912	20485106	5
2022.01.17	107660	107855	106715	107000	3843326	14107960	5
2022.01.18	106300	107745	106155	107530	5777585	22539010	5
2022.01.19	107530	109315	107510	108850	5355526	19929823	5
2022.01.20	109400	110515	108800	109850	5000271	18510736	5
2022.01.21	109500	110430	108890	109550	6856994	23576438	5
2022.01.24	108955	109350	107135	109015	8194163	27186985	5
2022.01.25	108475	111340	107625	110805	7029434	24670212	5
2022.01.26	111570	113270	111425	112080	7532199	25278224	5
2022.01.27	112110	113580	112100	112900	7206036	24713337	5
2022.01.28	112640	113480	111890	112440	6812879	22363720	5
2022.01.31	112470	113040	111575	112430	5643509	18306727	5
2022.02.01	112540	113795	112400	113745	5173131	17033707	5
2022.02.02	114000	114135	111765	112030	4814627	16549178	5
2022.02.03	111590	112745	111525	112490	6001672	20192892	5
2022.02.04	112000	112690	110535	112285	5538210	17602809	5
2022.02.07	112350	112640	111655	112320	5634333	18117001	5
2022.02.08	111900	112750	111050	112750	4840208	15908903	5
2022.02.09	113000	113360	111875	112395	5318717	17438058	5
2022.02.10	112500	113985	112245	113495	6164434	19512530	5
2022.02.11	113120	114990	113100	113800	6461530	20210442	5
2022.02.14	113000	114310	112880	113960	6096582	18490020	5
2022.02.15	114500	115135	113980	115135	4405551	13510925	5
2022.02.16	116255	117270	116255	116680	4118034	13658563	5
2022.02.17	116300	116630	114800	114900	4511191	14755035	5
2022.02.18	115355	115815	114060	114160	5174982	16688996	5
2022.02.21	114320	114840	112950	112950	3924414	12266322	5
2022.02.22	113650	114795	113585	114795	5563051	18498273	5
2022.02.23	114700	115110	112925	113010	5172629	17470422	5
2022.02.24	110500	112870	110050	112750	6864202	21701807	5
2022.02.25	112595	114495	111755	114250	5136669	16486518	5
2022.03.02	115250	116670	115125	116605	2508116	8399728	5
2022.03.03	116550	117155	116190	116610	4784862	15576760	5
2022.03.04	115795	116190	114545	115585	5042732	16046084	5
2022.03.07	115140	115630	111815	111815	5180746	17086533	5
2022.03.08	112720	113645	111995	112010	7044978	23234784	5
2022.03.09	113390	115130	112660	114790	5117818	17287476	5
2022.03.10	114150	114650	112775	114600	5472458	17734707	5
2022.03.11	115600	115740	112145	112900	5559408	17524831	5
2022.03.14	112750	113295	110505	110810	5754010	17838410	5
2022.03.15	110880	110945	108570	109690	5515695	18500232	5
2022.03.16	111255	112330	109850	112330	5559978	17934827	5
2022.03.17	112010	113990	111595	113820	5033102	16106524	5
2022.03.18	113110	116095	113060	115875	4032643	13769757	5
2022.03.21	115700	117145	115630	117095	4938908	15850094	5
2022.03.22	117205	118290	116925	118215	3942787	13789322	5
2022.03.23	117750	118935	117605	118220	4232480	14240332	5
2022.03.24	118390	120000	117760	119985	3737317	13108989	5
2022.03.25	119975	120345	119065	119780	4149993	13734144	5
2022.03.28	120000	120235	118565	119400	3902284	13104390	5
2022.03.29	120200	121385	119975	120375	4425842	15226540	5
2022.03.30	120110	121110	120095	120900	4130489	14471738	5
2022.03.31	120805	121330	120210	120485	3771382	13343446	5
2022.04.01	120800	122225	120785	122000	3543284	12754923	5
2022.04.04	122240	122300	121035	121530	3322845	11880114	5
2022.04.05	121445	121945	118800	119225	4599419	15967813	5
2022.04.06	118480	118860	116915	118205	5544941	17486655	5
2022.04.07	118560	119435	117535	118960	4930378	16193864	5
2022.04.08	119290	119290	117515	118330	4073151	14060413	5
2022.04.11	117725	117830	116750	116985	4335109	13711880	5
2022.04.12	117420	118590	116065	116530	4711375	13705994	5
2022.04.13	118820	119460	118295	118985	4189444	13436582	5
2022.04.14	118750	118865	117570	117900	4170971	13038163	5
2022.04.18	117735	118235	117095	117610	4359487	13117156	5
2022.04.19	117415	117460	116110	116950	4003236	13523234	5
2022.04.20	117395	117410	115715	115760	3985467	13198975	5
2022.04.22	114500	114640	112240	112890	4512402	14064818	5
2022.04.25	111335	112860	110825	112400	5275632	16888715	5
2022.04.26	112085	112100	109210	109235	4518914	14773063	5
2022.04.27	110505	111705	110390	111030	5554160	17083235	5
2022.04.28	112105	112270	110325	110905	4786035	15095229	5
2022.04.29	110840	113400	108425	109000	5262374	17738911	5
2022.05.02	108720	109500	106485	108100	5862673	17736369	5
2022.05.03	107950	108520	107315	107820	5605190	16638542	5
2022.05.04	107980	110025	106115	109920	5896387	18381408	5
2022.05.05	109060	109255	105065	106835	6366173	19810732	5
2022.05.06	106150	107530	105065	106330	6787680	18883233	5
2022.05.09	104790	105650	103925	104655	6101716	18120742	5
2022.05.10	105185	105290	103400	104360	6330688	18501826	5
2022.05.11	105275	106420	104075	105605	6530553	19466729	5
2022.05.12	104460	107025	104235	106950	6306130	18460762	5
2022.05.13	108065	108810	107100	107760	4605440	14205571	5
2022.05.16	107575	109800	107575	109300	5207957	15734347	5
2022.05.17	110310	110790	109225	110050	5112463	15685503	5
2022.05.18	109260	109855	106775	106965	5023433	16066159	5
2022.05.19	106580	108270	106500	107860	5642182	17205053	5
2022.05.20	108650	109685	108140	109410	5491129	16371402	5
2022.05.23	110050	111515	109840	111450	4668594	14498524	5
2022.05.24	110200	111530	109125	111365	5738760	17885196	5
2022.05.25	110815	111745	110275	110895	4748851	13938597	5
2022.05.26	111500	112790	110945	112640	3773924	12045858	5
2022.05.27	112300	113080	111960	112470	4009179	12361603	5
2022.05.30	113215	113680	111005	111005	3260464	10255956	5
2022.05.31	111290	112465	111140	111800	5297569	16710064	5
2022.06.01	112175	112440	111170	111885	4880815	15298031	5
2022.06.02	112200	113210	111525	112865	4392298	14091324	5
2022.06.03	112230	112395	111235	111750	4661129	14449880	5
2022.06.06	112565	112735	110255	110690	4251168	13947475	5
2022.06.07	110190	110710	109620	110350	4672190	14861621	5
2022.06.08	110125	110375	108215	108860	4795676	15908196	5
2022.06.09	109175	109445	107160	107705	5589604	17494310	5
2022.06.10	107850	108030	104685	105450	5880931	17349347	5
2022.06.13	103600	104045	101760	102800	6132037	18535975	5
2022.06.14	103000	103400	101290	102070	6083851	18569295	5
2022.06.15	104865	106140	103920	105140	5922166	17702752	5
2022.06.17	103070	103380	100315	101335	6058906	18129940	5
2022.06.20	101455	102290	100175	101750	4748000	13805102	5
2022.06.21	102500	102880	100845	102290	5564249	17508521	5
2022.06.22	100350	102190	99770	100810	5503404	16721660	5
2022.06.23	101485	102015	99200	99200	5770902	17987081	5
2022.06.24	100000	101040	99560	100600	4837680	15306640	5
2022.06.27	101100	102945	100675	102945	4979115	15409637	5
2022.06.28	103410	103895	101470	102110	5631614	17541780	5
2022.06.29	102120	103190	100665	101150	5772818	18561994	5
2022.06.30	100075	100700	99075	99300	6560168	19200777	5
2022.07.01	99235	100730	98560	100710	5769368	17892722	5
2022.07.04	100190	100730	99500	99500	4094686	12425412	5
2022.07.05	99130	99740	97740	99500	6024474	18948794	5
2022.07.06	99135	100440	98625	99955	5901920	18435911	5
2022.07.07	100740	102775	100675	102430	4008725	13491722	5
2022.07.08	102050	102815	101125	101415	5241467	15514990	5
2022.07.11	100530	100720	98945	99185	5060662	16296999	5
2022.07.12	98735	99830	98280	99695	5036672	16312654	5
2022.07.13	99705	100020	98355	98670	5816094	18006112	5
2022.07.14	97835	98120	96435	96850	4740948	15588065	5
2022.07.15	97155	97975	96155	97565	4351552	13768328	5
2022.07.18	98650	99265	97515	97555	4559335	14076657	5
2022.07.19	98180	99540	97905	99365	4510928	14664978	5
2022.07.20	98900	99245	98080	98770	4620730	14483678	5
2022.07.21	98615	99890	97795	99840	4532311	14688329	5
2022.07.22	100050	100485	99045	99955	4201501	13754854	5
2022.07.25	100415	101265	100300	101080	4002629	12802884	5
2022.07.26	100955	101440	100015	100500	3973047	13667366	5
2022.07.27	101025	102550	100615	102550	4022231	12703946	5
2022.07.28	102245	103600	101640	103500	4113246	13404154	5
2022.07.29	103790	104655	103165	103560	4338273	13699146	5
2022.08.01	103825	103900	102260	102825	4583551	14501812	5
2022.08.02	102250	104240	102095	104240	5534117	17470396	5
2022.08.03	104200	104485	103225	104425	4414027	13783845	5
2022.08.04	104265	107220	104170	106905	4329587	14524226	5
2022.08.05	106735	107625	105870	106710	4781066	14885059	5
2022.08.08	107250	109290	107155	109290	4774817	14796303	5
2022.08.09	109100	109590	108120	109085	5078450	15839325	5
2022.08.10	109000	110885	108925	110525	4901871	14493354	5
2022.08.11	110800	111765	109715	110300	5239445	15961884	5
2022.08.12	110285	112910	110280	112710	4539140	13693029	5
2022.08.15	111500	113330	110815	113215	4349286	13995989	5
2022.08.16	113050	113890	112690	113785	5082275	15685098	5
2022.08.17	114945	116250	114290	115490	4417923	13991783	5
2022.08.18	115785	116445	115295	116100	4359525	13972859	5
2022.08.19	114980	115270	112830	112850	4402271	14275831	5
2022.08.22	112150	112800	111715	112390	4853152	15020816	5
2022.08.23	113060	114940	112460	114825	4012301	12990237	5
2022.08.24	114775	115670	114275	114785	4619138	15118660	5
2022.08.25	115520	115810	114455	115160	4418144	13839469	5
2022.08.26	114855	115850	113575	114145	4988427	15980989	5
2022.08.29	113420	114920	113130	114220	4219390	13433639	5
2022.08.30	114395	114540	111660	111685	5072881	16682466	5
2022.08.31	111865	112935	111020	111700	5961739	17837715	5
2022.09.01	111250	112125	109620	111885	5920249	18388161	5
2022.09.02	111690	113805	111435	112350	5609090	16767879	5
2022.09.05	112215	114050	112175	113580	3775485	11032336	5
2022.09.06	113350	113375	110580	110605	5824598	18117889	5
2022.09.08	111745	112055	109770	111010	6880681	20448069	5
2022.09.09	112100	113775	111985	113550	4555120	13386006	5
2022.09.12	114230	115395	113875	114600	4477910	13615341	5
2022.09.13	115150	115365	111540	111770	5758573	17477204	5
2022.09.14	111620	112550	111075	111860	5818284	17668725	5
2022.09.15	111460	112150	110430	110610	5694057	17607507	5
2022.09.16	110110	110460	109420	110400	5499234	16942226	5
2022.09.19	109165	113500	108980	113460	5222161	17020201	5
2022.09.20	112900	113670	112165	113410	5657891	16962461	5
2022.09.21	113600	114180	112035	112600	6354351	18649430	5
2022.09.22	113480	115210	112515	114670	5869271	17777379	5
2022.09.23	113200	113370	111320	112240	5975096	18074776	5
2022.09.26	111525	111815	109075	109130	6654778	20210246	5
2022.09.27	110350	111585	108630	109135	6476331	19519422	5
2022.09.28	108135	109495	108030	108670	6017865	18278393	5
2022.09.29	108320	108645	106530	108115	5791308	17329191	5
2022.09.30	108500	110960	107500	110900	5538268	17823347	5
2022.10.03	114355	117130	113605	116970	5556097	16697680	5
2022.10.04	118060	118840	116100	116910	5949687	18258776	5
2022.10.05	116080	117935	115875	117800	5447227	16306161	5
2022.10.06	117310	118700	117170	117300	4971550	16111585	5
2022.10.07	117550	118190	116050	117250	5064589	15814014	5
2022.10.10	116960	117400	115375	116100	4786071	14996547	5
2022.10.11	115410	116010	114315	114650	5352160	17214709	5
2022.10.13	117550	118080	114810	116030	4822329	16040772	5
2022.10.14	116525	116930	113675	113830	5736485	18507262	5
2022.10.17	115000	116515	114425	115910	4411290	14634374	5
2022.10.18	116945	118260	116205	118150	5097636	17472209	5
2022.10.19	117500	118565	117140	118255	4997962	17294033	5
2022.10.20	118860	119680	118465	118950	4747125	16408458	5
2022.10.21	118385	122825	118280	122370	5298892	18242966	5
2022.10.24	121825	121835	117665	118050	5532580	18379891	5
2022.10.25	118020	118675	116040	116150	4840419	15505516	5
2022.10.26	116395	116830	114195	115250	5427638	16708509	5
2022.10.27	114900	118215	114300	115615	6558534	19940742	5
2022.10.28	114465	117100	114415	117045	5563981	17010122	5
2022.10.31	113000	118450	112500	117440	6733693	20372783	5
2022.11.01	118105	119920	116985	117410	6858584	18258371	5
2022.11.03	115865	118970	115490	118465	5103032	14582363	5
2022.11.04	120115	121605	118900	119270	6196651	17607021	5
2022.11.07	120045	120280	116370	116680	5659514	16208446	5
2022.11.08	116740	118590	115220	117855	6100667	18152547	5
2022.11.09	116900	117425	114255	114855	5705993	16602484	5
2022.11.10	114155	114155	109530	111060	6883614	17505701	5
2022.11.11	111985	114265	110175	113635	6518064	17250362	5
2022.11.14	113155	115460	112760	114220	6077367	16628301	5
2022.11.16	113655	114320	110340	110500	6539019	18565838	5
2022.11.17	109155	110610	108105	109950	6738960	18329180	5
2022.11.18	111410	112485	109270	109590	6092593	16880459	5
2022.11.21	109580	111110	108715	110880	6021950	17089122	5
2022.11.22	110500	111425	108560	109570	6253343	17709660	5
2022.11.23	109965	110175	108540	109120	5885871	17890879	5
2022.11.24	110380	113425	110055	112960	4639925	13410075	5
2022.11.25	112280	113035	109110	109320	5029593	15003982	5
2022.11.28	108550	110075	107915	109370	4763686	14206681	5
2022.11.29	110150	112835	109755	111620	5101411	15625517	5
2022.11.30	112000	113050	110600	113050	6308049	18108492	5
2022.12.01	112500	112690	110905	111575	5349571	15646598	5
2022.12.02	111500	114200	110225	112235	5257654	15637604	5
2022.12.05	112815	112840	109480	109480	5074288	15074064	5
2022.12.06	109770	110925	109405	110665	5676920	17026052	5
2022.12.07	109770	110440	108760	109640	5847850	17863163	5
2022.12.08	109440	109745	106980	107170	5468530	16930031	5
2022.12.09	107880	108710	107135	107780	4313044	12570881	5
2022.12.12	107895	107895	103765	104765	5426209	17063860	5
2022.12.13	104980	107000	103095	103615	6287628	17695438	5
2022.12.14	105140	106525	103635	105660	6490437	18204807	5
2022.12.15	105030	107630	104700	105850	5572051	16421200	5
2022.12.16	105120	106010	104110	104710	5165173	14950873	5
2022.12.19	105000	107045	104195	106785	5293927	15461578	5
2022.12.20	106705	109785	106160	109330	5928190	18182550	5
2022.12.21	109710	109810	107760	109350	5846803	16868351	5
2022.12.22	109000	110220	108190	109390	5633980	15865199	5
2022.12.23	109560	111825	109285	111430	4790019	13358229	5
2022.12.26	111240	111775	109940	110520	3638709	8992271	5
2022.12.27	111175	111370	108945	110090	4635681	13887025	5
2022.12.28	110380	112290	110200	112235	4923860	14242720	5
2022.12.29	112080	112850	110880	111035	4885512	13112319	5
2023.01.02	110400	110585	107265	107400	3693779	9744726	5
2023.01.03	107950	108045	104970	105000	6065199	17976363	5
2023.01.04	105550	107070	105150	106870	6099626	17838858	5
2023.01.05	107280	109270	106650	109200	4833778	15118245	5
2023.01.06	109050	110815	108845	110600	4798711	14441947	5
2023.01.09	109335	111295	108800	110210	5347317	15790674	5
2023.01.10	109750	112495	109375	111890	5189462	16098897	5
2023.01.11	111950	114190	111755	113990	5119860	15909061	5
2023.01.12	113200	114070	111695	112990	6171835	17492311	5
2023.01.13	112630	112895	111405	111990	4693641	14183405	5
2023.01.16	111100	111640	109705	109955	4209913	12232273	5
2023.01.17	110000	112660	109940	112520	4496045	13882976	5
2023.01.18	112920	114340	112825	113000	5568288	16813902	5
2023.01.19	111750	114170	111505	113515	5188598	15160695	5
2023.01.20	113880	114010	112545	113060	4673266	14209677	5
2023.01.23	113200	113880	112275	112360	5297973	15640149	5
2023.01.24	112065	114000	111870	113900	4657975	14663336	5
2023.01.25	113475	115295	112585	115295	5013284	15036050	5
2023.01.26	115045	115585	114270	114635	4848234	14746993	5
2023.01.27	114830	115070	112625	112860	4329589	13109051	5
2023.01.30	112610	113625	112375	113065	4761688	14189405	5
2023.01.31	112655	114265	112490	113980	4225828	12469633	5
2023.02.01	113860	114110	111155	112730	5702722	17043342	5
2023.02.02	112100	113445	110100	110365	5657732	16979105	5
2023.02.03	109850	110965	108465	108830	5546223	16215167	5
2023.02.06	108350	109260	107700	109000	5640774	16946275	5
2023.02.07	109355	109695	107435	108100	6275768	17886094	5
2023.02.08	108500	110485	108450	110440	5662911	17195149	5
2023.02.09	110845	110870	107920	108095	5544106	16758313	5
2023.02.10	107650	108800	107120	108055	4746396	14796647	5
2023.02.13	108175	109350	107470	109150	4398434	13851609	5
2023.02.14	109350	109745	107550	107770	5436867	17047085	5
2023.02.15	109800	112100	109005	111465	4310567	14381335	5
2023.02.16	111540	112255	110075	112185	5191056	17201412	5
2023.02.17	111245	111635	110675	110695	4494864	14225643	5
2023.02.22	109885	109915	108275	108495	2595346	8540645	5
2023.02.23	109110	110365	108210	109175	4481678	15333457	5
2023.02.24	108600	109100	106805	107490	4019311	13928486	5
2023.02.27	107955	108045	106660	106925	4982847	15920129	5
2023.02.28	107100	108265	105720	105745	5314185	16660414	5
2023.03.01	106360	106695	104375	105800	5480447	17892234	5
2023.03.02	106110	106260	104430	104500	5245902	17072464	5
2023.03.03	104820	105775	104555	104940	4413802	15105975	5
2023.03.06	104800	106450	104310	105980	4567796	15432070	5
2023.03.07	106055	106350	104615	105595	4892674	15858663	5
2023.03.08	105740	108000	105425	108000	4461355	15261906	5
2023.03.09	107650	107970	105850	105905	5200056	17764412	5
2023.03.10	106025	106150	104155	104750	5785627	18512735	5
2023.03.13	104550	104925	103135	104230	6542440	20134542	5
2023.03.14	104650	105145	103385	103940	5371469	17180957	5
2023.03.15	102700	103935	101485	103650	6038551	18632052	5
2023.03.16	103590	104775	103220	104380	4939052	15435230	5
2023.03.17	104275	104335	102335	102630	3773339	12877842	5
2023.03.20	102760	103080	101315	101640	4227614	14293302	5
2023.03.21	102430	102500	101535	101840	3658877	12275153	5
2023.03.22	101750	102650	100675	100675	4616795	15030610	5
2023.03.23	100755	101780	97440	97555	5052370	16692623	5
2023.03.24	97350	99870	97250	99540	4554369	15650145	5
2023.03.27	99955	100525	99525	100400	3965708	12768793	5
2023.03.28	100100	102065	99770	101900	3618676	12568928	5
2023.03.29	102250	102675	100560	102385	4571873	15447270	5
2023.03.30	103680	104535	103030	104450	4474999	14229652	5
2023.03.31	104000	104675	101670	101895	4701663	15450971	5
2023.04.03	102240	102500	100860	101780	4187748	14284286	5
2023.04.04	102185	103320	101780	102305	4264795	14901985	5
2023.04.05	102155	102355	100055	100880	4798220	16719091	5
2023.04.06	101000	101720	100505	101330	3924166	13045537	5
2023.04.10	101130	102350	100845	102115	3629218	12514558	5
2023.04.11	102500	106910	102440	106670	5000842	16568733	5
2023.04.12	108505	110480	108185	108900	4935319	15630331	5
2023.04.13	109000	109400	108215	108350	4349592	13913833	5
2023.04.14	108250	108935	106765	108800	4579704	14758874	5
2023.04.17	108880	108900	107545	107930	4047927	13810002	5
2023.04.18	108420	109375	106925	107800	4332404	15351955	5
2023.04.19	106930	107150	105315	105850	4294149	14322098	5
2023.04.20	105500	106420	104735	106140	4209709	14189001	5
2023.04.24	105650	106585	104855	105785	3874315	13057161	5
2023.04.25	105375	105510	104175	105510	4201727	13933826	5
2023.04.26	105165	105865	103750	104220	3784543	13017439	5
2023.04.27	104455	104700	103425	104455	4052723	13468748	5
2023.04.28	104200	105970	103875	105250	4042407	13801594	5
2023.05.02	105175	105575	102900	102900	4030371	13743189	5
2023.05.03	103190	103765	102725	103100	4681151	15510378	5
2023.05.04	103150	104800	102320	104355	4892992	16924831	5
2023.05.05	104100	106945	103755	106580	4524454	15330440	5
2023.05.08	107100	108035	106545	107020	4406173	15217819	5
2023.05.09	106800	109055	106570	108700	4086456	14687061	5
2023.05.10	108250	109000	107590	108885	4200631	14443038	5
2023.05.11	108315	109930	107465	109300	4251375	15446774	5
2023.05.12	109300	109900	108435	109650	3863370	13534981	5
2023.05.15	110100	110375	109345	110125	3769771	12777001	5
2023.05.16	109850	111250	108770	109050	4311556	16042390	5
2023.05.17	109400	110815	109150	110695	4407238	15416756	5
2023.05.18	110450	111270	109550	111140	4193331	15174470	5
2023.05.19	111080	112125	110585	111450	4042417	14900013	5
2023.05.22	111250	112550	110835	111255	4261090	14547005	5
2023.05.23	110870	112150	110430	111095	4536631	16519457	5
2023.05.24	110665	111075	109160	109930	4097909	14801225	5
2023.05.25	110295	111880	110200	110655	4753324	16370477	5
2023.05.26	111300	112405	110390	111520	4553316	16279227	5
2023.05.29	111800	111925	110650	110865	3360166	10825378	5
2023.05.30	111175	111980	109055	109320	4480114	15427355	5
2023.05.31	108930	109665	108675	108805	4376808	15347464	5
2023.06.01	109540	111580	108715	111575	4488606	15686602	5
2023.06.02	111880	113475	111805	113200	3986416	13826100	5
2023.06.05	112950	113500	112005	113030	3616308	12665261	5
2023.06.06	112815	115300	112800	115300	4366288	15390964	5
2023.06.07	115600	116270	114870	116085	4334426	15008118	5
2023.06.09	116360	117840	116340	117145	3719652	13063160	5
2023.06.12	117450	118040	116815	117790	3886065	13591159	5
2023.06.13	117950	118215	116425	117180	4239357	14367994	5
2023.06.14	119900	121750	119645	121330	5192112	17215006	5
2023.06.15	120850	122255	120830	121855	4286436	13814088	5
2023.06.16	121850	122065	120760	121075	3871377	12869350	5
2023.06.19	121040	122485	120830	122480	3587375	11349542	5
2023.06.20	122060	122100	120720	122000	4367298	14182522	5
2023.06.21	121950	122870	121540	122725	4389027	14287683	5
2023.06.22	121795	122315	120180	121510	4758105	15482262	5
2023.06.23	120900	121595	120310	121215	4436676	14583918	5
2023.06.26	120960	121155	119500	119950	4169485	13721650	5
2023.06.27	120635	121400	118545	119435	5066896	16345959	5
2023.06.28	119650	119950	118450	118570	4863165	15761490	5
2023.06.29	119115	120780	118375	120765	4403091	14288774	5
2023.06.30	120860	121550	119450	119500	4782638	15515856	5
2023.07.03	119985	121740	119900	121640	3956509	12620448	5
2023.07.04	121440	121590	120485	120895	3891204	12410101	5
2023.07.05	120370	121985	119730	121170	4863739	16184123	5
2023.07.06	121000	121005	118650	119150	4938673	15972795	5
2023.07.07	119585	121215	119200	120120	4519976	14590542	5
2023.07.10	119930	120300	119015	119105	4338599	14310644	5
2023.07.11	119720	119800	117030	119200	4780985	15833158	5
2023.07.12	119505	120475	118675	118800	4970803	15322576	5
2023.07.13	119395	121175	119310	120470	4462984	13609089	5
2023.07.14	120730	120965	118760	118960	4401857	14033918	5
2023.07.17	118700	119695	117810	119575	4382025	13920375	5
2023.07.18	119500	119960	118400	118970	5039285	16268282	5
2023.07.19	119150	119260	117685	118650	4769444	15535172	5
2023.07.20	118950	119485	118440	119345	4580979	14877581	5
2023.07.21	119100	121530	118835	121530	4617765	15659452	5
2023.07.24	121220	122810	121000	122715	4743761	15133963	5
2023.07.25	123155	124260	122755	122850	4595873	14915737	5
2023.07.26	122650	123695	122220	123175	4899263	15237917	5
2023.07.27	123655	123875	120090	120220	4856026	16048917	5
2023.07.28	120810	121765	120405	120720	4107036	13364643	5
2023.07.31	121390	122875	121205	122655	4137386	13541002	5
2023.08.01	122225	122240	120725	121620	4689718	15957846	5
2023.08.02	121030	121850	120265	121145	4940114	16571610	5
2023.08.03	122240	123165	120600	120705	5771784	19282399	5
2023.08.04	120680	121935	119540	119880	5879826	20179400	5
2023.08.07	120160	120495	119230	119530	4803999	15450774	5
2023.08.08	118675	119885	117615	119250	5147964	16655418	5
2023.08.09	119740	119740	118095	118620	5070931	17351600	5
2023.08.10	119100	119695	118090	118090	4912495	16501203	5
2023.08.11	118350	119260	117550	118290	4792807	16541002	5
2023.08.14	118170	118230	116645	116710	4704275	15891574	5
2023.08.15	116070	117700	115665	115765	5276749	17743934	5
2023.08.16	118440	119660	117555	117820	4876586	16616968	5
2023.08.17	118560	118860	116985	117250	4845278	16523833	5
2023.08.18	116990	117900	116585	117265	4719604	16108385	5
2023.08.21	117845	117855	116100	116120	4712619	16153061	5
2023.08.22	116800	118390	116600	118340	4521408	15736979	5
2023.08.23	118810	120500	118260	120440	4030587	14214609	5
2023.08.24	120095	120200	118720	119120	4349017	15506031	5
2023.08.25	119025	119210	117250	117700	5077880	16398061	5
2023.08.28	117995	119185	117560	119040	4506074	15257407	5
2023.08.29	118920	120360	118825	120075	4306027	14375830	5
2023.08.30	119915	120595	119090	119230	4251834	14029812	5
2023.08.31	119300	119575	117380	117740	4558889	15253913	5
2023.09.01	118400	119615	117800	119065	4106971	13165812	5
2023.09.04	119300	120135	119045	119435	3611824	11184567	5
2023.09.05	119055	119475	118065	119050	4897968	16674442	5
2023.09.06	118900	119400	117240	117360	4558333	15765456	5
2023.09.08	116320	116965	116030	116600	3667426	12422429	5
2023.09.11	117415	118545	116945	118540	4271752	14975492	5
2023.09.12	118540	119490	118290	119035	4178590	14879510	5
2023.09.13	118955	120655	118760	119495	4489960	15662265	5
2023.09.14	120100	120945	119920	120380	4329638	15363893	5
2023.09.15	120750	120980	119755	119985	3904531	14137207	5
2023.09.18	119750	120585	119160	119590	4110542	14702164	5
2023.09.19	119680	119715	118620	118850	4471861	16706060	5
